题名,作者,来源,发表时间,文献类型,被引,下载,详情链接,下载链接,HTML链接,AI阅读链接,项目标签
图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索,高晓晶;喻梦倩;杨家燕;张毓晗,图书情报工作,2021-05-20,期刊,213,7270,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGMVvxir7OQeb_GsFm2BniX3AuRKxjZPqtISO-fraWpWOZKsXgOuM4KOY9xg2DqeJoLQnzYZb5EbdX-k7OLLGUB2U_BFRo9Xa7v_pUnjQjCswfHWHS0Y_vCW4mB76HjlfUpK7JjzwBkOYz-17eg5FuzMqzRyS4Ww3uOJp6LJoNeXoQ==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdoabmU4NncMetQGnHwQAYvkip2zwjREGwNcaXHU%2F5IRcXnRdCaeUT3ue3NPZluT8Ph7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIk%2F9C2%2BnO2tfty9nRw9Tzj9txluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdoabmU4NncMetQGnHwQAYvkip2zwjREGwNcaXHU%2F5IRcRqRQQWHFsFlZSa4JPDoyUCL6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGVauZt0O6aKfIoiVt%2F%2BE5TaePRUwEkXIy4guYtxdLJq%2FR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgiecAKpOFogNWlYApDrbdtLwzIbmF4IBHlcZG8GfgJt5FRcJFnCXWEvXwdDhbxhTw8J3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
抖音阅读推广短视频传播效果影响因素研究,杨达森;李诗轩;丛颖男,图书馆学研究,2021-12-15,期刊,204,8333,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGM0l7mcRwKlpT4HcioQIccG2gAlv6Ol01W1ryuBXkATBk8MKPcPDnlsSPeki4E_AObBarzc0hfiKpYPsBrJrEUqVVgrO6HFYUfMkWPRkF6cIz2b-uDukXBuxNGZJz4PP-wGR7OZrAP5hQIWIUiEcg1YtC6r0Iajnt6pzEcuAA2m5Q==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdq%2F0vXAQuV35Z0QgBQiDxeFiwzCDUAUWfSiAQnJ6KRHvaw5ZHq8tx5wvk3fGHNNFjt7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIk5ks5ExVLUiH3ToECn3Ap2dxluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdq%2F0vXAQuV35Z0QgBQiDxeFiwzCDUAUWfSiAQnJ6KRHvdSKmMdsmmqyy5EvZaurdy2L6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGVauZt0O6aKfIoiVt%2F%2BE5TbTREL%2BA%2FyJwEZyi2g84QvIR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgid-LVp71txD3DkjPmE-l2Cigk4VPsdzrDNQ13x7Xyv_ORvU-zPPyvLbKFuSpmggmKp3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
大学生手机短视频过度使用行为影响因素研究,王建亚;张雅洁;程慧平,图书馆学研究,2020-07-15,期刊,167,13278,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGP3fGtY5VGXSjh9M5I73FAB66JPQygkpg12OcDQuWO_KdYSc3Gxo5_Nf7NX7z0hK9f9BAzsc6M5SkdYtja-JbdYXX16YRprRklpoLpPR_q9Bdcb0vJkscHHixuqt89xfiCUUTGGOUh7Ta-CmU34CWbrGElxTY9qJE31xQ5nCMlRqw==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdp9xMFmkePYI07tBv7fXudTiwzCDUAUWfSiAQnJ6KRHvYUvJriV1VjiDZiBWkmsSqV7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIk%2FB7BNxIq614I9Ghoxupk29xluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdp9xMFmkePYI07tBv7fXudTiwzCDUAUWfSiAQnJ6KRHvUx1Y%2FcSYOvS%2F5xG9KQKaR%2BL6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGVauZt0O6aKfIoiVt%2F%2BE5TZSutAlZXAaiLdZ9Dmx4wjyR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgid-LVp71txD3DkjPmE-l2Ci8P3ACwbZAp2OafLPxT2pjX-s4n4jlL7XQKLOuexh_op3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
短视频APP在图书馆推广中的应用及发展策略——基于平台数据的统计分析,张文亮;刘培旺,图书馆学研究,2019-07-25,期刊,130,2989,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGOKVnKuWi6uUd3lQQQm1zfpwmvhfqc2lqgg-A_gEpnZeMjj7dwo8jaHUBVfwJXz-9d4S9rlBQQKZQTF7zDTglCwqXMnQGI24-k0LMb2mIxRsKPC9ZjIuip4hZbwiWp-Cilui_qyEWGDD44eXJkGy2lfLYsl9bH-g7c0WVly62VsMQ==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdpcFthR2AfRFJJL4BBrDlb9iwzCDUAUWfSiAQnJ6KRHvXTEWKpWVzpQ4vwhLltb6xV7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIk54dWYd6Ox2eYFxgqdbPYjhxluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdpcFthR2AfRFJJL4BBrDlb9iwzCDUAUWfSiAQnJ6KRHvQhq7%2FNvFj6ewniCrV1Wb3CL6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGVauZt0O6aKfIoiVt%2F%2BE5TbK3%2F%2FWE0smiHtbCUITH5dhR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgid-LVp71txD3DkjPmE-l2Ciw2ToPIfCNcXxIKbiRdmsEqLqpt-UE7qLGJpZtSTKj2x3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
图书馆短视频发展现状、问题与对策分析——以抖音平台为例,王海燕,图书馆工作与研究,2020-05-15,期刊,121,3266,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGMHTX1GmZQ66is1xwqBnwOJNjEcGZ7EZouyrcUpkkCv1Wfn_NM4fYTUHWn7ayVzfW61wBlxG99g77TbMSUsptfcZ8GpTagVRSku4v8OP6AkIGN67z2pk8EWpHsqnpVYnhoB03pdfGPMLSr7pCCV5NSL8c_rYysmW6Dsw6iKi3ouZQ==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdp9xMFmkePYI07tBv7fXudTjA5OuUizMW7weIJOk0QB0Hk8gIyqI212P32Nzwn4Gxt7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIky1HEVaqrYWuZjHYeqCIyIJxluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdp9xMFmkePYI07tBv7fXudTjA5OuUizMW7weIJOk0QB0EMUjRtNOwkdYbogsmlCoV%2BL6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGQK0C991MLcOY40%2BqLI9ZZv1fs4iheqXGejVmqoCIWDbR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgid4Rm6ySNCvCh6A3FF75KCv5s-SpXlA5aiXRmbBtdy0YH-s4n4jlL7XQKLOuexh_op3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
图书馆热门短视频内容规律探究——基于抖音平台的实证研究,沈丽红,图书馆,2020-12-25 11:58,期刊,119,3381,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGPXAcauu5u1eWOps_GPmF7mJGo2A-Waq3KuLJ9FBTaPIW-hhPuRRWnfleV8Tt3sFf28h9-7Se6zNALegGcgfoYXjgWocWvf47L4mG4PVipHmAYaNDbxzxjbNNMYW3SDvIcHMDyH9Fx_c1popDt8DLPmUWJ-4GAQHrBDhrzQ2iq9qg==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdoabmU4NncMetQGnHwQAYvki53oDHVhL3rBjJdra9zHZcY%2FoMVIqiIb%2B0oKoGhCxSJ7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIk0e3pstWX9jKM5GFBklnLwZxluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdoabmU4NncMetQGnHwQAYvki53oDHVhL3rBjJdra9zHZVoXCEtZ7diZVcXdpNMWS7SL6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGQK0C991MLcOY40%2BqLI9ZZuhjBJ4SdPzeIoEwnK573VeR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgid4Rm6ySNCvCh6A3FF75KCvU6cBVV1c0rU6iWfxQN_g-RcJFnCXWEvXwdDhbxhTw8J3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
公共图书馆“抖音”短视频服务现状及发展策略研究,孙雨;陈凤娟,图书馆工作与研究,2021-01-15,期刊,118,3435,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGPhpgHFemw7PDwf6ftC7iN4I1DoebK-ugBAdz0uXL9Xjc0ZKLiPIqQBCp3YtWXqbyIeiouGv1rwW4MqJMzuj5fa_nRZuY8bk4eP7oqpVuJKhwrhrgf9hpXmpe0lchXsWsrL2CLrnBRztN1d6kfwYvnSRB8fb0wsGX3YhZjbWzz6yg==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdoabmU4NncMetQGnHwQAYvkjA5OuUizMW7weIJOk0QB0PjJdS0OHDlnrjGa%2BBjNFQN7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIk5K1ucTD7qRoIswo3X6o8JJxluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdoabmU4NncMetQGnHwQAYvkjA5OuUizMW7weIJOk0QB0B2jSJMWPqMSsf1DNA99CB6L6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGQK0C991MLcOY40%2BqLI9ZZvcyOsNIK6BfWW7qZ05BNy3R4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgid4Rm6ySNCvCh6A3FF75KCvOlcHbWhbLg1IrEAUboLbjxcJFnCXWEvXwdDhbxhTw8J3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
媒体融合背景下高校图书馆服务营销策略研究,王志军,图书馆工作与研究,2019-12-18 15:09,期刊,109,2415,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGPQ0AxDN3vR9529eHdePxZf_YCRV888BwND5G1VwKRL9uE9OougCvzMM7IwhqqzwpXmvLlCP3KFggkw2hlCY4L0a-BOi7ESIZxGSeOW9qpoF7FZ-OOWfJGeXHPJjT8sDPXccr9Cmz9bf5oDQnXlgxgLlLyMvWrJ8AadI3kJHwpU-w==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdp9xMFmkePYI07tBv7fXudTjA5OuUizMW7weIJOk0QB0HrFa813%2FpXK0gFuZXEH%2BHx7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIkwV32a57OyqWiJfvU%2FYyJ1txluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdp9xMFmkePYI07tBv7fXudTjA5OuUizMW7weIJOk0QB0LP8TY7LhBTTPZUkgS9OTpKL6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGQK0C991MLcOY40%2BqLI9ZZszqEI8XWU2elB03jpqAqQuR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgid4Rm6ySNCvCh6A3FF75KCvEPKcDrlTPGkjgWSgL22EvH-s4n4jlL7XQKLOuexh_op3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
公共图书馆短视频公众平台建设现状分析,曾一昕;张齐婕,图书馆学研究,2020-02-25,期刊,107,1954,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGPIFBX5MwyVVxRglIPTHDi__fP7TlAkfwxp5yTQvoJ9kcJCYvAbZyei2gO-EIJyCb5C5TOkQOM06iS0Dnml9uWzEtSF7D3OpTpl-KwKblPqkpwsRjqeyKOIsJNBYJIrtvD57WWdjIPPl4-yWwBBQoPr4gguoiDDErhOGRm3P6FrLA==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdp9xMFmkePYI07tBv7fXudTiwzCDUAUWfSiAQnJ6KRHvddLT4eBeaiLTSeMhloKGzh7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIky1aNfzkmvhZD%2FzyfqVe3l1xluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdp9xMFmkePYI07tBv7fXudTiwzCDUAUWfSiAQnJ6KRHvdreJTVNVqhBQI%2FwhpIujvyL6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGQK0C991MLcOY40%2BqLI9ZZsO6uTdFRAwGi2sLNK9fySOR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgid-LVp71txD3DkjPmE-l2CiW_LR4EQnrH0uyVrE2-QMzX-s4n4jlL7XQKLOuexh_op3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
基于SICAS模型的公共图书馆短视频营销策略研究,刘青;郭嘉如,图书馆工作与研究,2023-01-15,期刊,105,5245,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGM95vIXojH2Q553VOikvSKnA9sN9zw0VL7I5-EO_PDeBNpfINrEmEr8LxWyp4U2HDxgHCxRAhpqpZjbY7VpBFstziJoD5qqKtfkUBi8orl-8Zvq32pw85cblJhNtFiOGL_yTyfwNW6ry5QCDnugcQD16AZUL23ojDHoWFl9n-i4aA==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdpfnxH0ifbNup32DgGqxCY8jA5OuUizMW7weIJOk0QB0CGe5TY18Y4GJJWk51Vm5AN7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIk7rMAxjk6SVpMEAJ8ocQfTlxluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdpfnxH0ifbNup32DgGqxCY8jA5OuUizMW7weIJOk0QB0C8VfNAmC%2B01HIjN7UGFZwiL6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGQK0C991MLcOY40%2BqLI9ZZuePRUwEkXIy4guYtxdLJq%2FR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgid4Rm6ySNCvCh6A3FF75KCv4HgQ_eGjKkzr0IZ1aD4iAK3tX2onnTexasLcgF4O3JF3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
