题名,作者,来源,发表时间,文献类型,被引,下载,详情链接,下载链接,HTML链接,AI阅读链接,项目标签
图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索,高晓晶;喻梦倩;杨家燕;张毓晗,图书情报工作,2021-05-20,期刊,213,7270,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGPGcaNY1rO4am1OxtU2lWopHZ2BKlqJKe78oH1zkUshJvJyqK3bUBL2LOk4O8qIcsseMcPm0NfkDJ4IoNhtLLyXZSDut9L0eaUwi-2MFu5iJeBrWZUsgZtby9lnRwouK6WBm_X-_E1akDFnr69u4MeggXqHNb7PSJr_JxRC7CQuMg==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdoabmU4NncMetQGnHwQAYvkip2zwjREGwNcaXHU%2F5IRcXnRdCaeUT3ue3NPZluT8Ph7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIk%2Bnc5tnCX6XaiTZEeRsFGV1xluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdoabmU4NncMetQGnHwQAYvkip2zwjREGwNcaXHU%2F5IRcRqRQQWHFsFlZSa4JPDoyUCL6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGSDB60LC2VIZrjx7VSGH6SmePRUwEkXIy4guYtxdLJq%2FR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgiecAKpOFogNWlYApDrbdtLwzIbmF4IBHlcZG8GfgJt5FRcJFnCXWEvXwdDhbxhTw8J3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
抖音阅读推广短视频传播效果影响因素研究,杨达森;李诗轩;丛颖男,图书馆学研究,2021-12-15,期刊,204,8333,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGMZGXSDE87oyGJbUF0VjFN9iJoms81kB8rLC3mX2yZacsJBMO7DyVF_cl4WGUmyUIBXxIxjMtFvz0ZOI-JUBRxzEnO6LJFmp1-1Yt8pgPi2Q7s3CrOTGABzkND249Ow3wTiMWIP8p7F8w8z-Q6zayOPrAMBYcWiM0WR68SUf3XCcg==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdq%2F0vXAQuV35Z0QgBQiDxeFiwzCDUAUWfSiAQnJ6KRHvaw5ZHq8tx5wvk3fGHNNFjt7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIkzkuYtIeD2gtfQ1cz6R4IXRxluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdq%2F0vXAQuV35Z0QgBQiDxeFiwzCDUAUWfSiAQnJ6KRHvdSKmMdsmmqyy5EvZaurdy2L6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGSDB60LC2VIZrjx7VSGH6SnTREL%2BA%2FyJwEZyi2g84QvIR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgid-LVp71txD3DkjPmE-l2Cigk4VPsdzrDNQ13x7Xyv_ORvU-zPPyvLbKFuSpmggmKp3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
大学生手机短视频过度使用行为影响因素研究,王建亚;张雅洁;程慧平,图书馆学研究,2020-07-15,期刊,167,13278,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGPHEoCHzK7GMC2VPncCMlEvSAuGmFGyijw0L2D4QVUu5j5cKOTDn4zNoWSfsRu1964sgK_4LmbeRPeG-NcuvirZKpXMa_9JYw2ttXhTFsjIwz-SuswJdVkNWiyChVm07PtIteFFX7l5ZA8pvgcToyJBMkAUJ7cWRUlonS2QzZO7sg==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdp9xMFmkePYI07tBv7fXudTiwzCDUAUWfSiAQnJ6KRHvYUvJriV1VjiDZiBWkmsSqV7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIk4BeY7ZFSOjd8zu5uS8ZohZxluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdp9xMFmkePYI07tBv7fXudTiwzCDUAUWfSiAQnJ6KRHvUx1Y%2FcSYOvS%2F5xG9KQKaR%2BL6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGSDB60LC2VIZrjx7VSGH6SmOSPNnbndV3LMYmTFqdzguR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgid-LVp71txD3DkjPmE-l2Ci8P3ACwbZAp2OafLPxT2pjX-s4n4jlL7XQKLOuexh_op3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
短视频APP在图书馆推广中的应用及发展策略——基于平台数据的统计分析,张文亮;刘培旺,图书馆学研究,2019-07-25,期刊,130,2989,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGPHEoCHzK7GMC2VPncCMlEvSAuGmFGyijw0L2D4QVUu5s0qiWbFGICx-bWWO3KoSncMGAVHE1ZoU60vD_bG6-Bk56Qm0NWt4C6Y9C4Ecih9h586du9Wu1VGRhbxJIg9URq3lw_EBc5MfJCsnYFcE7htVGInkeKtA2dy6C7pn7_QdQ==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdpcFthR2AfRFJJL4BBrDlb9iwzCDUAUWfSiAQnJ6KRHvXTEWKpWVzpQ4vwhLltb6xV7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIk4BeY7ZFSOjd8zu5uS8ZohZxluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdpcFthR2AfRFJJL4BBrDlb9iwzCDUAUWfSiAQnJ6KRHvQhq7%2FNvFj6ewniCrV1Wb3CL6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGSDB60LC2VIZrjx7VSGH6SmOSPNnbndV3LMYmTFqdzguR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgid-LVp71txD3DkjPmE-l2Ciw2ToPIfCNcXxIKbiRdmsEqLqpt-UE7qLGJpZtSTKj2x3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
图书馆短视频发展现状、问题与对策分析——以抖音平台为例,王海燕,图书馆工作与研究,2020-05-15,期刊,121,3266,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGM4FwzRhVvr7LZ_wTQhIY9IiVvH7HQ-991GloIeZu5olWnAt33G-355y28zZNH9uUSFMNatKf5JzFPm3wQJOidGK8h1KvIP0K32cu6X9TuwX4o9ZiisxT7HuC1_XwnX3UqSKhDKT3JP_cIUXgWiiex_ISOYiyGEQtC-6ceYV4tzKw==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdp9xMFmkePYI07tBv7fXudTjA5OuUizMW7weIJOk0QB0Hk8gIyqI212P32Nzwn4Gxt7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIk86j%2FusrdyqrfybyKMKh3kFxluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdp9xMFmkePYI07tBv7fXudTjA5OuUizMW7weIJOk0QB0EMUjRtNOwkdYbogsmlCoV%2BL6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGSDB60LC2VIZrjx7VSGH6SlSutAlZXAaiLdZ9Dmx4wjyR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgid4Rm6ySNCvCh6A3FF75KCv5s-SpXlA5aiXRmbBtdy0YH-s4n4jlL7XQKLOuexh_op3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
图书馆热门短视频内容规律探究——基于抖音平台的实证研究,沈丽红,图书馆,2020-12-25 11:58,期刊,119,3381,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGM4FwzRhVvr7LZ_wTQhIY9IiVvH7HQ-991GloIeZu5olQA4nZPTDWuM8aM-nKZ4ftlbm6qn7rDSURF5uyJq7io_vPHsPWInZ9GoIkJsjw5otMQJth8SDvmwsh2YOwKMR3KrBH9czTh9wkliodbP5zYED2bOwWYCRM85X7xIOBcAQw==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdoabmU4NncMetQGnHwQAYvki53oDHVhL3rBjJdra9zHZcY%2FoMVIqiIb%2B0oKoGhCxSJ7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIk86j%2FusrdyqrfybyKMKh3kFxluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdoabmU4NncMetQGnHwQAYvki53oDHVhL3rBjJdra9zHZVoXCEtZ7diZVcXdpNMWS7SL6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGSDB60LC2VIZrjx7VSGH6SlSutAlZXAaiLdZ9Dmx4wjyR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgid4Rm6ySNCvCh6A3FF75KCvU6cBVV1c0rU6iWfxQN_g-RcJFnCXWEvXwdDhbxhTw8J3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
公共图书馆“抖音”短视频服务现状及发展策略研究,孙雨;陈凤娟,图书馆工作与研究,2021-01-15,期刊,118,3435,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGMmA_pyKXOzPwTNt4AxUilcR7qd7Bvj56-qkaBQUe3oPusdCXyx8IGN7bLItNr9x0Ndrv1IpLS7ssxnK_RrCbBDNhTPloiS2H4pF261EEKR8rOIpd_EIf2dl8OvyleoGRvghjA-9DFEa-rBN909H65mVsxSaMR0KHL6XXRDIRR_Tw==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdoabmU4NncMetQGnHwQAYvkjA5OuUizMW7weIJOk0QB0PjJdS0OHDlnrjGa%2BBjNFQN7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIkw6g4AFGSTHWGYhI%2FBppTsNxluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdoabmU4NncMetQGnHwQAYvkjA5OuUizMW7weIJOk0QB0B2jSJMWPqMSsf1DNA99CB6L6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGSDB60LC2VIZrjx7VSGH6SnK3%2F%2FWE0smiHtbCUITH5dhR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgid4Rm6ySNCvCh6A3FF75KCvOlcHbWhbLg1IrEAUboLbjxcJFnCXWEvXwdDhbxhTw8J3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
媒体融合背景下高校图书馆服务营销策略研究,王志军,图书馆工作与研究,2019-12-18 15:09,期刊,109,2415,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGMmA_pyKXOzPwTNt4AxUilcR7qd7Bvj56-qkaBQUe3oPt0pFvLl-EQgKXYhmFy1JvuaceHoIew1w3R5cnF3jNgaYP8SK9X33Xu3LLqcUoKgv_sl2SwHemQZI20tjmWFf18rnUmfNuDpjIJdNnnOyU_Cf2axjEkuaqd_02IZBGDsMQ==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdp9xMFmkePYI07tBv7fXudTjA5OuUizMW7weIJOk0QB0HrFa813%2FpXK0gFuZXEH%2BHx7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIkw6g4AFGSTHWGYhI%2FBppTsNxluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdp9xMFmkePYI07tBv7fXudTjA5OuUizMW7weIJOk0QB0LP8TY7LhBTTPZUkgS9OTpKL6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGSDB60LC2VIZrjx7VSGH6SnK3%2F%2FWE0smiHtbCUITH5dhR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgid4Rm6ySNCvCh6A3FF75KCvEPKcDrlTPGkjgWSgL22EvH-s4n4jlL7XQKLOuexh_op3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
公共图书馆短视频公众平台建设现状分析,曾一昕;张齐婕,图书馆学研究,2020-02-25,期刊,107,1954,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGMmA_pyKXOzPwTNt4AxUilcR7qd7Bvj56-qkaBQUe3oPkuShPpX1-ic6GcCRwVx_SGlXMSfSOgL52W4kCEuTTTEUeH4tEJkT73WbfddXlZd7bfY-f3RF8EqCRVsYk4teJYe7GQwsTZZxlkTDegQ3LctFXT5gu0gpx5IlLMVCm_xPg==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdp9xMFmkePYI07tBv7fXudTiwzCDUAUWfSiAQnJ6KRHvddLT4eBeaiLTSeMhloKGzh7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIk8I3WjeYF%2Bc%2F5CnelJa2EtBxluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6Kdp9xMFmkePYI07tBv7fXudTiwzCDUAUWfSiAQnJ6KRHvdreJTVNVqhBQI%2FwhpIujvyL6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGRKjPJCasGcZgWBmit52jbv1fs4iheqXGejVmqoCIWDbR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgid-LVp71txD3DkjPmE-l2CiW_LR4EQnrH0uyVrE2-QMzX-s4n4jlL7XQKLOuexh_op3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
基于SICAS模型的公共图书馆短视频营销策略研究,刘青;郭嘉如,图书馆工作与研究,2023-01-15,期刊,105,5245,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGOveOp3Mu8rYRO63EAo7Gy6OtcNU0ESWNdyyiBGlRONGClaziN2NesIlCXYdQGaoxP8r779ebY2rwvq9Iw_CzwUxsvxE1Fs-hxBMfgLEgOYI8E3d9LRRIuKNVwR83zVYn90vh_Zav7vFwltDFwhpffZ2VSPs4O8hLBip3LRTkeE3Q==&uniplatform=NZKPT&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdpfnxH0ifbNup32DgGqxCY8jA5OuUizMW7weIJOk0QB0CGe5TY18Y4GJJWk51Vm5AN7b5mY%2FmsIpB5E%2FKF94iQVtRGRF3wJSTnwmOEEZ8vwAlK57xT%2B8LhM%2BfEqYWvBGm0igmLMld3nSvbU4a5%2BOkNaUlSU0HSLnl9m7MwOtW%2FIk8I3WjeYF%2Bc%2F5CnelJa2EtBxluINF6fMO20iEpFsF%2FxvLGz%2Bz36TeLCyBRZ5MVuwHifB6QxOYUyIR8PMoF5%2F7cs%3D&language=CHS,https://bar.cnki.net/bar/download/order?id=Pmp%2F5es3RB81cmauPwpbvsPMJcfwHgIZAnUyOJG6KdpfnxH0ifbNup32DgGqxCY8jA5OuUizMW7weIJOk0QB0C8VfNAmC%2B01HIjN7UGFZwiL6pUY4deTV2VvozAOFIpRZPJZEQefXW1RVS3a1v8jK%2F1BfoaD1y1Qo7XRFd7QjHpuNlDuxMvlZu263io%2FYiDKaul1dsBYtTi0d7iCbJHlGRKjPJCasGcZgWBmit52jbv1fs4iheqXGejVmqoCIWDbR4MXWMVKZ0AuDIoSVAxlFqCIPOZZU1gs%2B4tMAbrwuo93KAUBlVIsgcb0E8u%2FYkCK&language=CHS,https://ai.cnki.net/study?cid=Pe2nFq1PBOM11SpCErZ-LwM1UHjV0uMR_icN4IXwgid4Rm6ySNCvCh6A3FF75KCv4HgQ_eGjKkzr0IZ1aD4iAK3tX2onnTexasLcgF4O3JF3KAUBlVIsgcb0E8u_YkCK&mimetype=XML&language=CHS,library_short_video
