题名,作者,来源,发表时间,文献类型,被引,下载,详情链接,下载链接,HTML链接,AI阅读链接,项目标签
图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索,高晓晶;喻梦倩;杨家燕;张毓晗,图书情报工作,2021-05-20,期刊,213,7270,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPOOxqFZrHt-fP0ra_wKloeusC2uZb3Mg3rx42MECA-Ppl3qFlymSXPNMyRSWbkXZHwlhnMA1FM0xgQk5VnmCCKDtXIo6wD6VzsLLVFN2lvmaM-fZQ_bGyeUznAnuHvnedSAtxz_E7Ed6NHav7u_0dbS-GC7Wv1gYc5YQPGsHrqoZQ==&uniplatform=NZKPT&language=CHS,,,,library_short_video
抖音阅读推广短视频传播效果影响因素研究,杨达森;李诗轩;丛颖男,图书馆学研究,2021-12-15,期刊,204,8333,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPN1tYDIDiJOJ9CAdid7M3H9jocnaHWx4SCf4D4ng75i8zX-Uo_s4Zdzpqoa5eJ_idgT1xr4cmWaAvxviLW81N7-NjvsK1vfxchNG17APSstq2r_6J-gIDXTSXog4L1-isWj7CQtFrDruuRDlwtiuUJwvQABu_fMYZQpuvou9lzsqQ==&uniplatform=NZKPT&language=CHS,,,,library_short_video
大学生手机短视频过度使用行为影响因素研究,王建亚;张雅洁;程慧平,图书馆学研究,2020-07-15,期刊,167,13278,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPNG4ZAA6gmvZFC0IvJ-Po5SlLC0Nbam_rwPJr9hjHoUgbvgIeTmhpVem7of6oezsu5Z4kpzDWzmMO_jQNhJaUYbTXlDjocPRNMPM_RqQu9sA_qkEuUPcwk0NwTNvrxyzpSUt7q8UFisPnLJV1WdYXU-czqSmJ93x1ZIgHfNuIxVKw==&uniplatform=NZKPT&language=CHS,,,,library_short_video
短视频APP在图书馆推广中的应用及发展策略——基于平台数据的统计分析,张文亮;刘培旺,图书馆学研究,2019-07-25,期刊,130,2989,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPNG4ZAA6gmvZFC0IvJ-Po5SlLC0Nbam_rwPJr9hjHoUgWffzap8dGrZ6Kai46ThyEvWpa3bQ_Jmol6KkvvWPVgtc9GsSd07nwTMAAEFSFzP_Tmn2AmFmFxh6C8VxR2kn46lg8Ae7A10GNg8EH_1cQsQwqj1i6j3bWfqlEsUdVUXBw==&uniplatform=NZKPT&language=CHS,,,,library_short_video
图书馆短视频发展现状、问题与对策分析——以抖音平台为例,王海燕,图书馆工作与研究,2020-05-15,期刊,121,3266,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPO22uIH3zmeJTSD2pFG5MsggNMKcn9TiG4tFbSWMpQgNw-Dv3nBdBnzpK3Ckg5sYKHM1QDZm67tDww7TiPNLZWOpNwMIVVW5RVYdSzXu540fn19va3NPYz7bSGHPRZb6k3aHbzp-5BRUNkZippT9pWBcLzt5kI3OZ2JZqpgn5rIpA==&uniplatform=NZKPT&language=CHS,,,,library_short_video
图书馆热门短视频内容规律探究——基于抖音平台的实证研究,沈丽红,图书馆,2020-12-25 11:58,期刊,119,3381,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPO22uIH3zmeJTSD2pFG5MsggNMKcn9TiG4tFbSWMpQgN2TOEwea057RG2zFYCp5cKBLUZ4TGAe2TEnXPy7ZJ7a8gbyeCLJMYl6_6eOd9wwkDmH6AsUU7kWfYbdzOUtbrOdp0kj8pFpflqZLEtLUMGUQQRFflHIzE0pC5e84yi54fw==&uniplatform=NZKPT&language=CHS,,,,library_short_video
公共图书馆“抖音”短视频服务现状及发展策略研究,孙雨;陈凤娟,图书馆工作与研究,2021-01-15,期刊,118,3435,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPNmccDw5gNujMlgnUHUleHZNV91wm6UVvlvXEe1qEZ3p_ZmSS8O0rwtiQycSBjHDYK-mXHqTwSAvYUvxqndg1hhC1DWtcCPZvo2ud0XiXJw3i9J_sr0hqlEwpeNtAa61kwc5nSnY5JlSqPRJE1qKlhn4T3Deasrdbr9xLfQIPTdVA==&uniplatform=NZKPT&language=CHS,,,,library_short_video
媒体融合背景下高校图书馆服务营销策略研究,王志军,图书馆工作与研究,2019-12-18 15:09,期刊,109,2415,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPNmccDw5gNujMlgnUHUleHZNV91wm6UVvlvXEe1qEZ3p6LBz6jpRVMhFqsBwOUQeyBnsBK-5zqA87NH21lSHfr1E1Xzql2fZS3gwu7avTyzmw2XiZlbN0HQKDExKAPy93v-I6ucHUO9xIxkTGrkV_-l1_GMD5nf1goH6kKA0gKMMA==&uniplatform=NZKPT&language=CHS,,,,library_short_video
公共图书馆短视频公众平台建设现状分析,曾一昕;张齐婕,图书馆学研究,2020-02-25,期刊,107,1954,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPMpHL63zubRfc2Nm2i4qr7YPB62y0ROOfVU6QX7lwoL1KV6OOg-7wZtcbihf744d-cYOJcFy_Q7kL--1bf--eZM1ifxu0rsjNf4ne6o6j3h2qezVBpEt6JqUypNbxG-T6v-bk6F0UFUKVnPcM3mP4RmF_AStxkQ4BTeaTa1XJswHw==&uniplatform=NZKPT&language=CHS,,,,library_short_video
基于SICAS模型的公共图书馆短视频营销策略研究,刘青;郭嘉如,图书馆工作与研究,2023-01-15,期刊,105,5245,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPMpHL63zubRfc2Nm2i4qr7YPB62y0ROOfVU6QX7lwoL1ElPLTrKLnnKS1g9ivI5HCaaUujoAnYT7HSX_yGOHD29GgLC_RVZa5UfbILupmHHycHJ5W_HX4xUCx4diglhdblUnJ6gYnpivbsSkhXddyzdW7RNQhynTdfGmInLmuRdxA==&uniplatform=NZKPT&language=CHS,,,,library_short_video
基于短视频营销的公共图书馆数字阅读推广策略研究,张承,图书馆工作与研究,2021-05-15,期刊,99,2915,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPOJxb8irLz5JSeR9D6kNFODrukh9aDzqmlK_tAu2hWOXorwEaji9bXCd1SwS2zzsMPIxvrwZCIRzrcAtYJu_MOQY3vRIp0An1VdBsc04WuY8ibmCeJ8LCNF5692CXlNH0rC5b5dNny6uCRkKTdzjzHD2j2QlfckWnKI2jFS84fvgw==&uniplatform=NZKPT&language=CHS,,,,library_short_video
“新4C法则”下图书馆网络直播营销策略研究,欧燕,图书馆工作与研究,2021-10-15,期刊,99,3768,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPOJxb8irLz5JSeR9D6kNFODrukh9aDzqmlK_tAu2hWOXvQskWKl70T0WTBEM30mJk7dVfbTPtPKKcvNUee4ADZWt13z-gg0CgecTwSgKBwltzkJzWuQ2qInhdaxDYB8uJO7kTJOITebqFpfAGP1tDUwDr--xrHdFSAhsceDWmQv-A==&uniplatform=NZKPT&language=CHS,,,,library_short_video
移动短视频用户信息行为影响因素及动态演化研究,李欣颖,吉林大学,2021-06-01,博士,93,9630,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPNxxR44SXYWNnbJINvgGcWo6mDV2ilMSrlPuAVDeN2U1oytbM_XDsLVvmDCFRqrdacBm1eJAjd4L739IZgoGsY-2XRoD6XIIismLgCuRnAbvQvE7-OSURHoWxK8FYKgVlwFApR2yKNn1AZGAKPeiD2hQlNyxFZNZgyl2bLJb248HQK8hBJhrP23&uniplatform=NZKPT&language=CHS,,,,library_short_video
公共图书馆和高校图书馆短视频营销比较研究,龚雪竹,大学图书馆学报,2021-07-21,期刊,92,3214,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPNxxR44SXYWNnbJINvgGcWoQmlHvvVXM8luo1yxSWAJAE_fXRDqv0VT4i3M01ZhUOjqNW6O9jO3799q50rs0Yk1Dc82UnGnfDsroIRXzONfvffl4hBWzKNLd2he16S0pMOlTG2RxacgJBdD7tqU6wb50g5hw543-M4JUecbZCuFKA==&uniplatform=NZKPT&language=CHS,,,,library_short_video
文旅融合背景下的公共数字文化服务创新发展——以陕西省图书馆“智能文化云地标”的建设实践为例,陆路;秦升,国家图书馆学刊,2020-04-15,期刊,92,4124,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPNYpIczWAYHAVojtZcXggJbBpzsJfA9MM2qxTYbLNq9xlpshOEnV6cfFFZtZGIH3XyzgGKlFNipCZVU61b0shnxmnCthzToviahKdFKr0QSYkh0fRNmR2NGDpiq6uBpyoPLTXbtfbqMLnT6oQaGF-75YF89pDiq-LIQ3F3ZCx_BUw==&uniplatform=NZKPT&language=CHS,,,,library_short_video
短视频古籍推广调查及发展策略,贾娟,图书馆论坛,2020-02-28 07:00,期刊,81,2453,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPNYpIczWAYHAVojtZcXggJbBpzsJfA9MM2x8tEtXdQqOrbRHucWBswHf_r19iMWpqugchwZHbmMGpKnJzPuhVFaeBD92iSDly9FHYS_dFv08nl8-_pUmCJl26CzatW3JCCGYNsHg-FbFQ6cDUqXGdcomRsq8tZGHvMTBTMx3LPYtw==&uniplatform=NZKPT&language=CHS,,,,library_short_video
我国省级公共图书馆短视频服务运营探析——基于抖音App的数据分析,隋鑫;颜雨钦,图书馆学研究,2021-01-15,期刊,79,2025,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPNpXwO7ZmeQPqgsp492yscq2fkr9YnovUVEkM2Vtd5vX1XJl1tbKFFS3-PAZbg6o6e0qozcVOb7RZ8KjkED_nZEg3YXfMACSJJLo9rQYaWlkM6Fc4VdUpXOJNcmNW2vI0oYHPvDeP6J3NqxLBEJwlthU_ZKWMR9AWzZOkh_wYzstw==&uniplatform=NZKPT&language=CHS,,,,library_short_video
短视频社会化阅读推广效果分析——以抖音短视频为例,徐彤阳;李婷,图书馆,2021-03-15 11:20,期刊,74,4127,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPNpXwO7ZmeQPqgsp492yscq2fkr9YnovUVEkM2Vtd5vX_3W5xx078hOuZy7rGZI1tLUHt-FZqND22czMtWQEVSscPX0u-IcOsspnA2AqLtax6fsAjHoSdiEUc2BiEMyaII3HU85c5WO6Ed_KyXZtBQ0eqeMcIFleLazKgeYiU3p_w==&uniplatform=NZKPT&language=CHS,,,,library_short_video
图书馆短视频账号传播力研究——以省级公共图书馆为例,王兴兰;夏晓红,图书馆学研究,2021-03-15,期刊,74,2082,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPMhkMJsKjGRSL2EEmNykAuMPWeJtnMK5ZaQhPvltIGFAnAlzH8FCjF15fbopX0_vv2s6saQ8-FQjOWlxVtEjMF2NB9kba1IRmyx07L6EGljnE0K2sG6dd11nXw9U80l4tIZ3DaYv4JIeRTr1rrf1bJvvwbUO8DWNfNMXnSMb2Xs3Q==&uniplatform=NZKPT&language=CHS,,,,library_short_video
基于4P营销模型的高校图书馆读书类短视频运营策略研究,胡廷俊,图书馆工作与研究,2022-12-15,期刊,72,4461,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPMhkMJsKjGRSL2EEmNykAuMPWeJtnMK5ZaQhPvltIGFAqOcw4IkwiEJxKZL242p9aKKgJ4OKaIVTaAK_nGsHVetqh59g98zYU2SFNpXW5HclvU_AzS7jPkuA8NvC0mrAz7j9Ns8K8V8xLMH6KkzeJkjQAg62qNZHIlD9s5eN8XZNQ==&uniplatform=NZKPT&language=CHS,,,,library_short_video
