citekey,title,year,authors,doi,source,source_database,language,publication_type,cssci_status,project_tags,theory,methods,data,core_findings,limitations,usable_quotes,chinese_reference_translation,target_journal_relevance,read_status,note_path,pdf_path
cnki_2021_d35f8e895a,图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索,2021,高晓晶;喻梦倩;杨家燕;张毓晗,,图书情报工作,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,skimmed,/Users/leung/ResearchWorkflow/projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md,/Users/leung/ResearchWorkflow/library/pdfs/library_short_video/converted/cnki_2021_d35f8e895a.pdf
cnki_2021_dfab60236e,抖音阅读推广短视频传播效果影响因素研究,2021,杨达森;李诗轩;丛颖男,,图书馆学研究,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,skimmed,/Users/leung/ResearchWorkflow/projects/library_short_video/literature/readers/cnki_2021_dfab60236e/paper.md,/Users/leung/ResearchWorkflow/library/pdfs/library_short_video/converted/cnki_2021_dfab60236e.pdf
cnki_2020_62aa02b5b0,大学生手机短视频过度使用行为影响因素研究,2020,王建亚;张雅洁;程慧平,,图书馆学研究,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2019_94a1721837,短视频APP在图书馆推广中的应用及发展策略——基于平台数据的统计分析,2019,张文亮;刘培旺,,图书馆学研究,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2020_64b4f881c9,图书馆短视频发展现状、问题与对策分析——以抖音平台为例,2020,王海燕,,图书馆工作与研究,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,skimmed,/Users/leung/ResearchWorkflow/projects/library_short_video/literature/readers/cnki_2020_64b4f881c9/paper.md,/Users/leung/ResearchWorkflow/library/pdfs/library_short_video/converted/cnki_2020_64b4f881c9.pdf
cnki_2020_2a150c6df8,图书馆热门短视频内容规律探究——基于抖音平台的实证研究,2020,沈丽红,,图书馆,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,skimmed,/Users/leung/ResearchWorkflow/projects/library_short_video/literature/readers/cnki_2020_2a150c6df8/paper.md,/Users/leung/ResearchWorkflow/library/pdfs/library_short_video/cnki_2020_2a150c6df8.caj
cnki_2021_7556aafa99,公共图书馆“抖音”短视频服务现状及发展策略研究,2021,孙雨;陈凤娟,,图书馆工作与研究,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,skimmed,/Users/leung/ResearchWorkflow/projects/library_short_video/literature/readers/cnki_2021_7556aafa99/paper.md,/Users/leung/ResearchWorkflow/library/pdfs/library_short_video/cnki_2021_7556aafa99.caj
cnki_2019_d713007c64,媒体融合背景下高校图书馆服务营销策略研究,2019,王志军,,图书馆工作与研究,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2020_5ca581e54f,公共图书馆短视频公众平台建设现状分析,2020,曾一昕;张齐婕,,图书馆学研究,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2023_34348faa1e,基于SICAS模型的公共图书馆短视频营销策略研究,2023,刘青;郭嘉如,10.16384/j.cnki.lwas.2023.01.004,图书馆工作与研究,CNKI,zh-CN,journal-article,,library_short_video,SICAS模型;短视频营销路径;公共图书馆服务转化,描述性账号调查;DCI传播力指数;案例诊断,11个粉丝过万公共图书馆抖音号;近30日新增作品/点赞/评论/分享/粉丝与总粉丝;统计时间截至2021-12-02,以SICAS五阶段诊断公共图书馆短视频运营问题并提出融媒体感知、沉浸式内容、互动连接、软营销转化和激励分享五类策略。,头部公共馆样本外推有限;描述性诊断不能证明策略效果;传播力与互动指标不能直接代表服务价值;2021年末平台生态存在时代漂移,,,,skimmed,/Users/leung/ResearchWorkflow/projects/library_short_video/literature/readers/cnki_2023_34348faa1e/paper.md,/Users/leung/ResearchWorkflow/library/pdfs/library_short_video/converted/cnki_2023_34348faa1e.pdf
cnki_2021_5530e86157,基于短视频营销的公共图书馆数字阅读推广策略研究,2021,张承,10.16384/j.cnki.lwas.2021.05.012,图书馆工作与研究,CNKI,zh-CN,journal-article,,library_short_video,短视频营销;数字阅读推广;公共图书馆服务设计,描述性实践提炼;策略归纳,90个粉丝长期超过1万的公共图书馆抖音头部账号;2020-05-01至2020-11-30;27455条短视频,将公共图书馆数字阅读推广短视频营销归纳为情感营销、渠道营销和互动营销三条策略路径，强调内容IP/场景融合、双矩阵运营、用户标签、社区化互动和线上线下转化。,头部账号样本外推有限;描述性策略归纳不能证明因果;2020年平台快照存在时代漂移;服务价值和阅读转化仍需可测量指标,,,,skimmed,/Users/leung/ResearchWorkflow/projects/library_short_video/literature/readers/cnki_2021_5530e86157/paper.md,/Users/leung/ResearchWorkflow/library/pdfs/library_short_video/cnki_2021_5530e86157.caj
cnki_2021_dddc719517,“新4C法则”下图书馆网络直播营销策略研究,2021,欧燕,,图书馆工作与研究,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2021_50f2b81085,移动短视频用户信息行为影响因素及动态演化研究,2021,李欣颖,,吉林大学,CNKI,zh-CN,博士,,library_short_video,,,,,,,,,metadata-only,,
cnki_2021_3771e58987,公共图书馆和高校图书馆短视频营销比较研究,2021,龚雪竹,,大学图书馆学报,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,skimmed,/Users/leung/ResearchWorkflow/projects/library_short_video/literature/readers/cnki_2021_3771e58987/paper.md,library/pdfs/library_short_video/cnki_2021_3771e58987.pdf
cnki_2020_0842a8f6c4,文旅融合背景下的公共数字文化服务创新发展——以陕西省图书馆“智能文化云地标”的建设实践为例,2020,陆路;秦升,,国家图书馆学刊,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2020_2f64bb62c6,短视频古籍推广调查及发展策略,2020,贾娟,,图书馆论坛,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2021_2ba9195a8a,我国省级公共图书馆短视频服务运营探析——基于抖音App的数据分析,2021,隋鑫;颜雨钦,,图书馆学研究,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2021_2bcdca1cf9,短视频社会化阅读推广效果分析——以抖音短视频为例,2021,徐彤阳;李婷,,图书馆,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2021_645f03f388,图书馆短视频账号传播力研究——以省级公共图书馆为例,2021,王兴兰;夏晓红,10.15941/j.cnki.issn1001-0424.2021.05.006,图书馆学研究,CNKI,zh-CN,journal-article,,library_short_video,传播力评价;图书馆短视频账号指标体系;平台传播与服务价值分层,文献分析法;网络调查法;熵权法;内容质量评分;爆款指数;飞瓜指数对比,22个官方认证省级公共图书馆抖音账号;数据获取时间2020-10-30;指标包括粉丝量、发布量、视频内容质量、总点赞量、爆款指数,构建图书馆短视频账号传播力评价模型;浙江图书馆传播力最高;13个省级公共图书馆账号传播力低于0.1;模型与飞瓜指数整体趋势一致但分层更细且更具图书馆行业适配性。,平台传播力不等于服务价值;样本限于2020年省级公共图书馆抖音账号;内容质量评分和标准化阈值需复核;无页码与因果识别;不代表2026平台生态。,,,,skimmed,/Users/leung/ResearchWorkflow/projects/library_short_video/literature/readers/cnki_2021_645f03f388/paper.md,/Users/leung/ResearchWorkflow/library/pdfs/library_short_video/cnki_2021_645f03f388.pdf
cnki_2022_efd2209e07,基于4P营销模型的高校图书馆读书类短视频运营策略研究,2022,胡廷俊,,图书馆工作与研究,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2021_86b70a7c0f,短视频APP在图书馆阅读推广中的应用前景探析,2021,牛国强,,图书馆工作与研究,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2021_4d1ed48a48,短视频时代图书馆知识营销模式构建研究,2021,储节旺;吴若航,,大学图书馆学报,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2022_2d4348379a,基于SIPS模型的图书馆短视频阅读推广优化策略研究,2022,傅军民,,图书馆工作与研究,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2022_e0a8336b38,公共图书馆短视频传播效果影响因素组态路径研究——基于120个案例的模糊集定性比较分析,2022,曾群;黄武英,,图书馆学研究,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2021_c8e47e2e81,图书馆“爆款”短视频特征分析及短视频平台运营策略研究,2021,姜玲,,图书馆理论与实践,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2019_9ec51df06a,我国图书馆抖音号的运营现状与优化策略,2019,白禄;郭宝华,,图书馆研究,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2022_fc17e50522,我国公共图书馆抖音短视频内容营销现状及策略研究,2022,周邓倩,,图书馆,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2021_c7cfb20665,我国省级公共图书馆抖音短视频运营现状调查分析,2021,韩世曦;曾粤亮,,图书馆学研究,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2021_262e161fba,基于TAM模型的公共图书馆短视频阅读推广策略研究,2021,容海萍,,图书馆工作与研究,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2022_4c81746e3f,以用户体验为中心的高校图书馆短视频推广策略探究,2022,蒋璐珺;顾烨青,,图书馆,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
cnki_2023_82f69af538,高校图书馆B站视频传播效果影响因素实证研究,2023,丁大尉;李效阳,,图书情报工作,CNKI,zh-CN,journal-article,,library_short_video,,,,,,,,,metadata-only,,
