Source,Target,Type,Weight,Label
2026-06-20-hook-model,Hook Model 上瘾模型,Directed,1,obsidian_link
2026-06-29-evening-close,2026-06-22-library_short_video,Directed,2,obsidian_link
2026-06-29-evening-close,2026-06-28-context-pack,Directed,2,obsidian_link
2026-06-29-evening-close,2026-06-29-sicas-paper,Directed,5,obsidian_link
2026-06-29-evening-close,AARRR 漏斗模型,Directed,1,obsidian_link
2026-06-29-evening-close,DCI传播力指数,Directed,3,obsidian_link
2026-06-29-evening-close,ELM 精细加工可能性模型,Directed,1,obsidian_link
2026-06-29-evening-close,Hook Model 上瘾模型,Directed,5,obsidian_link
2026-06-29-evening-close,SICAS-服务转化路径,Directed,1,obsidian_link
2026-06-29-evening-close,SICAS模型,Directed,5,obsidian_link
2026-06-29-evening-close,cnki_2023_34348faa1e,Directed,8,obsidian_link
2026-06-29-evening-close,library_short_video,Directed,4,obsidian_link
2026-06-29-evening-close,图书馆短视频多平台复测,Directed,1,obsidian_link
2026-06-29-evening-close,图书馆短视频服务价值框架,Directed,1,obsidian_link
2026-06-29-evening-close,描述性账号调查,Directed,2,obsidian_link
2026-06-29-evening-close,方向链,Directed,4,obsidian_link
2026-06-29-evening-close,沉浸式内容,Directed,2,obsidian_link
2026-06-29-evening-close,用户感知价值,Directed,2,obsidian_link
2026-06-29-evening-close,精神激励,Directed,1,obsidian_link
2026-06-29-evening-close,软营销,Directed,2,obsidian_link
2026-06-29-sicas-paper,2026-06-29-evening-close,Directed,1,obsidian_link
2026-06-29-sicas-paper,DCI传播力指数,Directed,2,obsidian_link
2026-06-29-sicas-paper,ELM 精细加工可能性模型,Directed,1,obsidian_link
2026-06-29-sicas-paper,Hook Model 上瘾模型,Directed,1,obsidian_link
2026-06-29-sicas-paper,SICAS模型,Directed,5,obsidian_link
2026-06-29-sicas-paper,cnki_2023_34348faa1e,Directed,5,obsidian_link
2026-06-29-sicas-paper,library_short_video,Directed,2,obsidian_link
2026-06-29-sicas-paper,描述性账号调查,Directed,1,obsidian_link
2026-06-29-sicas-paper,沉浸式内容,Directed,2,obsidian_link
2026-06-29-sicas-paper,用户感知价值,Directed,1,obsidian_link
2026-06-29-sicas-paper,软营销,Directed,2,obsidian_link
2026-06-30,AARRR 漏斗模型,Directed,1,obsidian_link
2026-06-30,cnki_2021_3771e58987,Directed,1,obsidian_link
2026-06-30,平台适配,Directed,1,obsidian_link
2026-06-30,馆型差异,Directed,1,obsidian_link
2026-06-30-aarrr-paper,2026-06-30-evening-close,Directed,1,obsidian_link
2026-06-30-aarrr-paper,AARRR 漏斗模型,Directed,6,obsidian_link
2026-06-30-aarrr-paper,SICAS模型,Directed,2,obsidian_link
2026-06-30-aarrr-paper,cnki_2021_3771e58987,Directed,6,obsidian_link
2026-06-30-aarrr-paper,library_short_video,Directed,1,obsidian_link
2026-06-30-aarrr-paper,内容分析法,Directed,2,obsidian_link
2026-06-30-aarrr-paper,图书馆短视频AARRR服务价值指标,Directed,1,obsidian_link
2026-06-30-aarrr-paper,平台适配,Directed,5,obsidian_link
2026-06-30-aarrr-paper,网络调查法,Directed,2,obsidian_link
2026-06-30-aarrr-paper,馆型差异,Directed,5,obsidian_link
2026-06-30-evening-close,2026-06-30-aarrr-paper,Directed,1,obsidian_link
2026-06-30-evening-close,AARRR 漏斗模型,Directed,8,obsidian_link
2026-06-30-evening-close,DCI传播力指数,Directed,1,obsidian_link
2026-06-30-evening-close,Hook Model 上瘾模型,Directed,1,obsidian_link
2026-06-30-evening-close,SICAS-AARRR整合框架,Directed,1,obsidian_link
2026-06-30-evening-close,SICAS模型,Directed,4,obsidian_link
2026-06-30-evening-close,cnki_2021_3771e58987,Directed,8,obsidian_link
2026-06-30-evening-close,cnki_2023_82f69af538,Directed,1,obsidian_link
2026-06-30-evening-close,library_short_video,Directed,1,obsidian_link
2026-06-30-evening-close,内容分析法,Directed,2,obsidian_link
2026-06-30-evening-close,图书馆短视频AARRR服务价值指标,Directed,1,obsidian_link
2026-06-30-evening-close,平台适配,Directed,5,obsidian_link
2026-06-30-evening-close,描述性账号调查,Directed,1,obsidian_link
2026-06-30-evening-close,方向链,Directed,1,obsidian_link
2026-06-30-evening-close,沉浸式内容,Directed,1,obsidian_link
2026-06-30-evening-close,用户感知价值,Directed,1,obsidian_link
2026-06-30-evening-close,网络调查法,Directed,2,obsidian_link
2026-06-30-evening-close,软营销,Directed,1,obsidian_link
2026-06-30-evening-close,馆型差异,Directed,5,obsidian_link
2026-07-01-digital-reading-promotion-paper,2026-07-01-evening-close,Directed,1,obsidian_link
2026-07-01-digital-reading-promotion-paper,AARRR 漏斗模型,Directed,2,obsidian_link
2026-07-01-digital-reading-promotion-paper,SICAS模型,Directed,2,obsidian_link
2026-07-01-digital-reading-promotion-paper,cnki_2021_5530e86157,Directed,7,obsidian_link
2026-07-01-digital-reading-promotion-paper,library_short_video,Directed,2,obsidian_link
2026-07-01-digital-reading-promotion-paper,互动营销,Directed,4,obsidian_link
2026-07-01-digital-reading-promotion-paper,头部账号实践提炼,Directed,2,obsidian_link
2026-07-01-digital-reading-promotion-paper,平台适配,Directed,1,obsidian_link
2026-07-01-digital-reading-promotion-paper,情感营销,Directed,4,obsidian_link
2026-07-01-digital-reading-promotion-paper,数字阅读推广,Directed,3,obsidian_link
2026-07-01-digital-reading-promotion-paper,服务价值,Directed,4,obsidian_link
2026-07-01-digital-reading-promotion-paper,渠道营销,Directed,4,obsidian_link
2026-07-01-digital-reading-promotion-paper,用户感知价值,Directed,1,obsidian_link
2026-07-01-evening-close,2026-07-01-digital-reading-promotion-paper,Directed,1,obsidian_link
2026-07-01-evening-close,AARRR 漏斗模型,Directed,3,obsidian_link
2026-07-01-evening-close,SICAS模型,Directed,3,obsidian_link
2026-07-01-evening-close,cnki_2021_5530e86157,Directed,9,obsidian_link
2026-07-01-evening-close,library_short_video,Directed,2,obsidian_link
2026-07-01-evening-close,互动营销,Directed,5,obsidian_link
2026-07-01-evening-close,头部账号实践提炼,Directed,4,obsidian_link
2026-07-01-evening-close,平台适配,Directed,1,obsidian_link
2026-07-01-evening-close,情感营销,Directed,5,obsidian_link
2026-07-01-evening-close,数字阅读推广,Directed,6,obsidian_link
2026-07-01-evening-close,服务价值,Directed,8,obsidian_link
2026-07-01-evening-close,渠道营销,Directed,5,obsidian_link
2026-07-01-evening-close,用户感知价值,Directed,1,obsidian_link
2026-07-02-propagation-power-evaluation-paper,AARRR 漏斗模型,Directed,1,obsidian_link
2026-07-02-propagation-power-evaluation-paper,SICAS模型,Directed,1,obsidian_link
2026-07-02-propagation-power-evaluation-paper,cnki_2021_645f03f388,Directed,2,obsidian_link
2026-07-02-propagation-power-evaluation-paper,传播力评价,Directed,3,obsidian_link
2026-07-02-propagation-power-evaluation-paper,图书馆短视频内容质量评价,Directed,1,obsidian_link
2026-07-02-propagation-power-evaluation-paper,图书馆短视频账号传播力研究——以省级公共图书馆为例,Directed,1,obsidian_link
2026-07-02-propagation-power-evaluation-paper,平台互动-服务触达-阅读转化,Directed,1,obsidian_link
2026-07-02-propagation-power-evaluation-paper,数字阅读推广,Directed,1,obsidian_link
2026-07-02-propagation-power-evaluation-paper,服务价值,Directed,1,obsidian_link
2026-07-02-propagation-power-evaluation-paper,熵权法,Directed,1,obsidian_link
2026-07-02-propagation-power-evaluation-paper,爆款指数,Directed,1,obsidian_link
AARRR 漏斗模型,ELM 精细加工可能性模型,Directed,1,obsidian_link
AARRR 漏斗模型,Hook Model 上瘾模型,Directed,1,obsidian_link
AARRR 漏斗模型,SICAS模型,Directed,2,obsidian_link
AARRR 漏斗模型,cnki_2021_3771e58987,Directed,2,obsidian_link
AARRR 漏斗模型,library_short_video,Directed,1,obsidian_link
AARRR 漏斗模型,内容分析法,Directed,1,obsidian_link
AARRR 漏斗模型,图书馆短视频AARRR服务价值指标,Directed,1,obsidian_link
AARRR 漏斗模型,平台适配,Directed,1,obsidian_link
AARRR 漏斗模型,描述性账号调查,Directed,1,obsidian_link
AARRR 漏斗模型,服务价值,Directed,1,obsidian_link
AARRR 漏斗模型,网络调查法,Directed,1,obsidian_link
AARRR 漏斗模型,馆型差异,Directed,1,obsidian_link
DCI传播力指数,SICAS模型,Directed,1,obsidian_link
DCI传播力指数,cnki_2021_645f03f388,Directed,2,obsidian_link
DCI传播力指数,cnki_2023_34348faa1e,Directed,2,obsidian_link
